mass_A
t	ω	θ
0.0		-1.2692742267232149
0.03333333333333331	0.014931696678076598	-1.2595025398769546
0.06666666666666662	-0.08579698165929181	-1.2682787802780098
0.1	0.030898694309073903	-1.2652223386542407
0.13333333333333325	-0.031110660486390853	-1.2662188673240715
0.16666666666666674	-0.050628128863556755	-1.2672963826866668
0.2	-0.046456210165173345	-1.2695940759149753
0.23333333333333336	-0.037928180063118135	-1.270393463364345
0.2666666666666667	-0.0023675778322784793	-1.2721226212525165
0.3	0.00856936176518386	-1.270551301886497
0.33333333333333337	0.0034802237491160523	-1.271551330468171
0.36666666666666664	-0.029176402868462688	-1.2703192869698892
0.4	-0.0405681590949136	-1.273496423992735
0.43333333333333335	0.012248698583292595	-1.27302383090955
0.4666666666666666	0.015556473516379553	-1.2726798440871823
0.5016666666666666	0.04817738604368063	-1.2719608052192641
0.535	0.04151860226066056	-1.2693877227075308
0.5683333333333334	0.03526947077303488	-1.2691928984018868
0.6016666666666669	0.021141065775288667	-1.267036424655995
0.6349999999999999	-0.02131539747243346	-1.2677834940168675
0.6683333333333333	0.443608368940152	-1.2684574511541573
0.7016666666666667	2.442304536975811	-1.2382096027541907
0.7350000000000001	4.649992078869033	-1.105637148689103
0.7683333333333334	5.899198586512612	-0.928210130829588
0.8016666666666666	6.694643316708673	-0.7123572429215963
0.8349999999999999	7.045587310588233	-0.4819005763823448
0.8683333333333334	7.268662425645491	-0.24265142221571345
0.9016666666666668	7.432000791580852	0.002676918660690253
0.9350000000000002	7.500092549819512	0.2528152972230107
0.9683333333333334	7.530737589108618	0.5026830886486569
1.0016666666666667	7.576595965850592	0.754864469830251
1.035	7.690767203709392	1.0077894863720287
1.0683333333333336	7.855791897656356	1.2675822834108788
1.101666666666667	7.97659463904108	1.5315089462157891
1.135	8.070831028477595	1.7993552593469488
1.1683333333333334	8.181042813122032	2.0695643481142936
1.2016666666666664	8.248985778412445	2.3447581135550823
1.235	8.333170557143509	2.61949673334179
1.2683333333333335	8.396947618654144	2.9003028173646532
1.3016666666666665	8.420894354940282	3.179293241252064
1.335	8.454523671954036	3.46169577436067
1.3683333333333334	8.234092332349851	3.742928152715668
1.401666666666667	8.012424317627866	4.010635263183997
1.435	7.876556440451583	4.277089773890859
1.4683333333333335	7.791006800270362	4.535739025880767
1.5016666666666665	7.7837037465471335	4.796490227242215
1.535	7.750768425585618	5.054652608983908
1.5683333333333336	7.722388815239051	5.313208122281259
1.601666666666667	7.68058092159802	5.569478529999848
1.635	7.665066190970188	5.825246850387792
1.6683333333333334	6.263734878524144	6.080482942731192
1.7016666666666669	2.7551743657480636	6.242829175622736
1.735	-2.212670370839291	6.264161233781063
1.768333333333333	-5.454600943231799	6.095317817566785
1.801666666666667	-6.288195191024617	5.900521170898942
1.835	-6.977875052482417	5.676104804831809
1.8683333333333334	-7.282019699921333	5.435329500733449
1.9016666666666666	-7.423088163612374	5.190636824837053
1.935	-7.596731989379502	4.940456956492624
1.9683333333333335	-7.6529242009935725	4.684188025545085
2.0016666666666665	-7.745352770739537	4.430262009759721
2.0350000000000006	-7.922694187732633	4.167831174162446
2.0683333333333334	-8.013361126171572	3.9020823972442105
2.1016666666666666	-8.104771930422658	3.6336070990843465
2.135	-8.138194005358242	3.3617642685493685
2.1683333333333334	-8.212830799579146	3.091060832060462
2.201666666666667	-8.301555637593111	2.8142422152440867
2.235	-8.304790652568693	2.5376237895542566
2.268333333333333	-8.245278924967842	2.260589505072846
2.3016666666666667	-8.252975006233921	1.9879385278897321
2.335	-8.267196984617547	1.7103911713239164
2.3683333333333336	-7.977006771660272	1.4367920622485606
2.4033333333333333	-7.872910988309863	1.1652957085937976
2.4366666666666665	-8.022435855554471	0.8988098113807232
2.47	-8.057410640595835	0.6304666515568311
2.5033333333333334	-8.144684851810057	0.36164910200766587
2.5366666666666666	-8.141358220448206	0.08748766143616254
2.57	-7.983954737839506	-0.18110811268887933
2.6033333333333335	-7.935916727611353	-0.4447759877531395
2.636666666666667	-7.910173732746942	-0.7101692278629747
2.67	-7.189321238173099	-0.9721209032696003
2.703333333333333	-4.743823125055742	-1.189457310407843
2.736666666666667	-1.8676253566956988	-1.2883757782733174
2.77	-0.48669585207281113	-1.31396566752089
2.8033333333333337	-0.10179159563284226	-1.320822168411505
2.8366666666666664	-2.2478378566504E-4	-1.3207517738964127
2.87	-0.03735760421851963	-1.320837153997216
2.9033333333333333	-0.03400672617495338	-1.323242280844314
2.9366666666666665	-0.012794579998023234	-1.3231042690755461
2.9700000000000006	0.014920296842058043	-1.3240952528441823
3.0033333333333334	-0.09061197605014652	-1.322109582619409
3.0366666666666666	-0.19093352062728286	-1.3301360512475253
3.07	0.03920926095535947	-1.334838483994561
3.1033333333333335	-0.040241144297781965	-1.327522100517168
3.136666666666667	-0.1483575130905895	-1.3375212269477466
3.17	-0.007262751165118061	-1.337412601389874
3.203333333333333	-0.01426621863307993	-1.3380054103587544
3.236666666666667		-1.3383636826320793
