mass_A
t	θ
0.0	-1.2692742267232149
0.03333333333333331	-1.2595025398769546
0.06666666666666662	-1.2682787802780098
0.1	-1.2652223386542407
0.13333333333333325	-1.2662188673240715
0.16666666666666674	-1.2672963826866668
0.2	-1.2695940759149753
0.23333333333333336	-1.270393463364345
0.2666666666666667	-1.2721226212525165
0.3	-1.270551301886497
0.33333333333333337	-1.271551330468171
0.36666666666666664	-1.2703192869698892
0.4	-1.273496423992735
0.43333333333333335	-1.27302383090955
0.4666666666666666	-1.2726798440871823
0.5016666666666666	-1.2719608052192641
0.535	-1.2693877227075308
0.5683333333333334	-1.2691928984018868
0.6016666666666669	-1.267036424655995
0.6349999999999999	-1.2677834940168675
0.6683333333333333	-1.2684574511541573
0.7016666666666667	-1.2382096027541907
0.7350000000000001	-1.105637148689103
0.7683333333333334	-0.928210130829588
0.8016666666666666	-0.7123572429215963
0.8349999999999999	-0.4819005763823448
0.8683333333333334	-0.24265142221571345
0.9016666666666668	0.002676918660690253
0.9350000000000002	0.2528152972230107
0.9683333333333334	0.5026830886486569
1.0016666666666667	0.754864469830251
1.035	1.0077894863720287
1.0683333333333336	1.2675822834108788
1.101666666666667	1.5315089462157891
1.135	1.7993552593469488
1.1683333333333334	2.0695643481142936
1.2016666666666664	2.3447581135550823
1.235	2.61949673334179
1.2683333333333335	2.9003028173646532
1.3016666666666665	3.179293241252064
1.335	3.46169577436067
1.3683333333333334	3.742928152715668
1.401666666666667	4.010635263183997
1.435	4.277089773890859
1.4683333333333335	4.535739025880767
1.5016666666666665	4.796490227242215
1.535	5.054652608983908
1.5683333333333336	5.313208122281259
1.601666666666667	5.569478529999848
1.635	5.825246850387792
1.6683333333333334	6.080482942731192
1.7016666666666669	6.242829175622736
1.735	6.264161233781063
1.768333333333333	6.095317817566785
1.801666666666667	5.900521170898942
1.835	5.676104804831809
1.8683333333333334	5.435329500733449
1.9016666666666666	5.190636824837053
1.935	4.940456956492624
1.9683333333333335	4.684188025545085
2.0016666666666665	4.430262009759721
2.0350000000000006	4.167831174162446
2.0683333333333334	3.9020823972442105
2.1016666666666666	3.6336070990843465
2.135	3.3617642685493685
2.1683333333333334	3.091060832060462
2.201666666666667	2.8142422152440867
2.235	2.5376237895542566
2.268333333333333	2.260589505072846
2.3016666666666667	1.9879385278897321
2.335	1.7103911713239164
2.3683333333333336	1.4367920622485606
2.4033333333333333	1.1652957085937976
2.4366666666666665	0.8988098113807232
2.47	0.6304666515568311
2.5033333333333334	0.36164910200766587
2.5366666666666666	0.08748766143616254
2.57	-0.18110811268887933
2.6033333333333335	-0.4447759877531395
2.636666666666667	-0.7101692278629747
2.67	-0.9721209032696003
2.703333333333333	-1.189457310407843
2.736666666666667	-1.2883757782733174
2.77	-1.31396566752089
2.8033333333333337	-1.320822168411505
2.8366666666666664	-1.3207517738964127
2.87	-1.320837153997216
2.9033333333333333	-1.323242280844314
2.9366666666666665	-1.3231042690755461
2.9700000000000006	-1.3240952528441823
3.0033333333333334	-1.322109582619409
3.0366666666666666	-1.3301360512475253
3.07	-1.334838483994561
3.1033333333333335	-1.327522100517168
3.136666666666667	-1.3375212269477466
3.17	-1.337412601389874
3.203333333333333	-1.3380054103587544
3.236666666666667	-1.3383636826320793
