54,idle,14.00,0.00,6.04,4.30,5,0.00,5.44,-1092,-1145.46
237,idle,172.00,0.00,6.04,4.30,10,0.00,5.44,-1106,-14.34
357,idle,169.00,0.00,6.04,4.20,15,0.00,5.44,-1105,1.63
478,idle,170.00,0.00,6.04,4.10,19,0.00,5.44,-1111,-6.68
598,idle,171.00,0.00,6.04,4.30,24,0.00,5.44,-1117,-6.37
717,idle,169.00,0.00,6.04,4.10,24,0.00,5.44,-37,-15.04
837,idle,171.00,0.00,6.04,4.00,24,0.00,5.44,-30,-6.85
957,idle,170.00,0.00,6.04,4.10,24,0.00,5.44,-30,1.67
1077,idle,170.00,0.00,6.04,4.30,24,0.00,5.44,-22,1.59
1198,idle,170.00,0.00,6.04,4.30,24,0.00,5.44,-22,-6.37
1317,idle,170.00,0.00,6.04,4.40,24,0.00,5.44,-7,1.56
1437,idle,170.00,0.00,6.04,3.90,24,0.00,5.44,-15,-15.81
1557,idle,171.00,0.00,6.04,4.30,24,0.00,5.44,-30,-14.34
1677,idle,172.00,0.00,6.04,4.30,24,0.00,5.44,-37,-6.37
1798,idle,171.00,0.00,6.04,4.10,24,0.00,5.44,-30,1.67
1957,idle,169.00,0.00,6.04,4.20,24,0.00,5.44,-30,1.63
2077,idle,170.00,0.00,6.04,4.20,24,0.00,5.44,-22,-6.52
2157,idle,171.00,0.00,6.04,4.10,24,0.00,5.44,-30,-23.39
2237,idle,170.00,0.00,6.04,4.30,24,0.00,5.44,-45,-22.30
2357,idle,171.00,0.00,6.04,4.00,24,0.00,5.44,-53,-6.85
2438,idle,170.00,0.00,6.04,4.40,24,0.00,5.44,-60,-6.23
2518,idle,172.00,0.00,6.04,4.10,24,0.00,5.44,-60,-6.68
2597,idle,170.00,0.00,6.04,3.80,24,0.00,5.44,-52,-16.22
2677,idle,172.00,0.00,6.04,4.20,24,0.00,5.44,-30,1.63
2757,idle,169.00,0.00,6.04,4.10,24,0.00,5.44,-37,-15.04
2837,idle,171.00,0.00,6.04,4.00,23,0.00,5.44,-37,-6.85
2917,idle,172.00,0.00,6.04,4.20,24,0.00,5.44,-30,1.63
2997,idle,172.00,0.00,6.04,4.10,24,0.00,5.44,-22,-6.68
3118,idle,171.00,0.00,6.04,4.00,24,0.00,5.44,-30,-6.85
3197,idle,172.00,0.00,6.04,4.30,24,0.00,5.44,-30,-14.34
3277,idle,172.00,0.00,6.04,4.10,24,0.00,5.44,-37,-15.04
3357,idle,171.00,0.00,6.04,3.90,24,0.00,5.44,-45,-7.03
3437,idle,172.00,0.00,6.04,4.20,24,0.00,5.44,-45,-6.52
3517,idle,173.00,0.00,6.04,4.00,24,0.00,5.44,-45,-6.85
3597,idle,173.00,0.00,6.04,3.90,23,0.00,5.44,-45,-15.81
3678,idle,171.00,0.00,6.04,4.20,24,0.00,5.44,-52,-22.83
3758,idle,173.00,0.00,6.04,4.10,24,0.00,5.44,-45,1.67
3877,idle,170.00,0.00,6.04,4.30,24,0.00,5.44,-38,1.59
3957,idle,171.00,0.00,6.04,4.10,24,0.00,5.44,-38,-6.68
4037,idle,170.00,0.00,6.04,4.20,24,0.00,5.44,-30,-6.52
